city,latitude,longitude,timestamp,temperature_celsius,humidity_percent,wind_speed_kmh,wind_direction_degrees,wind_gusts_kmh,precipitation_mm,weather_code,cloud_cover_percent,pressure_hpa,visibility_meters,apparent_temperature_celsius,ingestion_time
London,51.5085,-0.1257,2026-08-23T00:00,16.3,60,5.8,196,12.6,0.0,3,100,1024.9,29200.0,15.1,2026-09-02T19:29:50.106674
London,51.5085,-0.1257,2026-08-23T01:00,15.8,65,6.1,226,13.7,0.0,3,100,1025.1,31460.0,14.7,2026-09-02T19:29:50.106744
London,51.5085,-0.1257,2026-08-23T02:00,14.9,69,4.7,240,10.4,0.0,3,100,1025.4,26080.0,14.1,2026-09-02T19:29:50.107089
London,51.5085,-0.1257,2026-08-23T03:00,14.7,72,4.7,262,10.1,0.0,3,92,1025.3,21020.0,13.9,2026-09-02T19:29:50.107130
London,51.5085,-0.1257,2026-08-23T04:00,13.7,76,2.2,268,5.8,0.0,3,94,1025.3,19440.0,13.3,2026-09-02T19:29:50.107147
London,51.5085,-0.1257,2026-08-23T05:00,13.9,78,4.0,214,9.0,0.0,2,52,1025.5,15340.0,13.4,2026-09-02T19:29:50.107178
London,51.5085,-0.1257,2026-08-23T06:00,13.7,79,3.2,240,7.2,0.0,3,92,1025.8,13880.0,13.3,2026-09-02T19:29:50.107203
London,51.5085,-0.1257,2026-08-23T07:00,14.8,76,4.0,226,8.6,0.0,3,84,1026.0,11820.0,14.5,2026-09-02T19:29:50.107219
London,51.5085,-0.1257,2026-08-23T08:00,16.7,68,6.5,234,14.0,0.0,2,73,1025.7,14780.0,16.0,2026-09-02T19:29:50.107233
London,51.5085,-0.1257,2026-08-23T09:00,18.3,62,4.7,254,11.9,0.0,2,63,1025.7,15200.0,17.9,2026-09-02T19:29:50.107246
London,51.5085,-0.1257,2026-08-23T10:00,20.4,45,3.6,242,14.0,0.0,1,42,1025.5,18600.0,19.4,2026-09-02T19:29:50.107266
London,51.5085,-0.1257,2026-08-23T11:00,20.9,40,1.8,258,12.2,0.0,2,60,1025.1,20080.0,19.8,2026-09-02T19:29:50.107296
London,51.5085,-0.1257,2026-08-23T12:00,21.6,36,1.1,174,12.2,0.0,2,70,1025.0,19400.0,20.4,2026-09-02T19:29:50.107316
London,51.5085,-0.1257,2026-08-23T13:00,22.1,34,1.4,230,13.7,0.0,2,70,1024.9,20100.0,20.8,2026-09-02T19:29:50.107331
London,51.5085,-0.1257,2026-08-23T14:00,22.8,32,1.4,290,13.7,0.0,2,64,1024.6,21020.0,21.4,2026-09-02T19:29:50.107343
London,51.5085,-0.1257,2026-08-23T15:00,23.3,30,2.2,178,14.8,0.0,2,72,1024.0,20480.0,21.8,2026-09-02T19:29:50.107354
London,51.5085,-0.1257,2026-08-23T16:00,23.8,29,3.2,76,15.1,0.0,2,60,1023.4,20120.0,22.0,2026-09-02T19:29:50.107376
London,51.5085,-0.1257,2026-08-23T17:00,24.1,27,6.5,52,19.4,0.0,1,20,1022.9,26080.0,21.8,2026-09-02T19:29:50.107389
London,51.5085,-0.1257,2026-08-23T18:00,23.8,29,10.4,70,25.9,0.0,1,34,1022.8,27460.0,21.0,2026-09-02T19:29:50.107400
London,51.5085,-0.1257,2026-08-23T19:00,21.3,48,17.3,100,38.2,0.0,0,0,1023.3,26520.0,18.7,2026-09-02T19:29:50.107411
London,51.5085,-0.1257,2026-08-23T20:00,19.8,57,15.1,98,33.5,0.0,0,0,1023.7,26280.0,17.9,2026-09-02T19:29:50.107423
London,51.5085,-0.1257,2026-08-23T21:00,18.9,63,14.8,102,33.5,0.0,3,83,1024.1,27100.0,17.3,2026-09-02T19:29:50.107442
London,51.5085,-0.1257,2026-08-23T22:00,18.1,64,12.6,96,28.1,0.0,3,100,1023.9,26760.0,16.6,2026-09-02T19:29:50.107454
London,51.5085,-0.1257,2026-08-23T23:00,17.5,64,11.9,80,26.3,0.0,3,100,1023.9,28760.0,16.0,2026-09-02T19:29:50.107466
London,51.5085,-0.1257,2026-08-24T00:00,16.9,62,10.1,80,22.7,0.0,3,100,1023.5,26920.0,15.4,2026-09-02T19:29:50.107478
London,51.5085,-0.1257,2026-08-24T01:00,15.9,66,9.0,60,20.2,0.0,0,0,1023.4,24120.0,14.5,2026-09-02T19:29:50.107490
London,51.5085,-0.1257,2026-08-24T02:00,14.9,70,9.4,52,20.5,0.0,1,47,1023.0,22160.0,13.4,2026-09-02T19:29:50.107502
London,51.5085,-0.1257,2026-08-24T03:00,14.8,71,8.3,50,18.0,0.0,3,100,1023.1,19960.0,13.5,2026-09-02T19:29:50.107514
London,51.5085,-0.1257,2026-08-24T04:00,14.0,72,8.6,52,19.4,0.0,3,100,1022.8,18160.0,12.5,2026-09-02T19:29:50.107525
London,51.5085,-0.1257,2026-08-24T05:00,13.5,72,9.0,52,19.4,0.0,3,100,1022.5,15260.0,11.9,2026-09-02T19:29:50.107537
London,51.5085,-0.1257,2026-08-24T06:00,13.6,72,9.0,54,19.4,0.0,3,100,1022.1,14540.0,12.0,2026-09-02T19:29:50.107548
London,51.5085,-0.1257,2026-08-24T07:00,15.0,68,9.4,60,20.2,0.0,3,100,1021.7,14400.0,13.5,2026-09-02T19:29:50.107565
London,51.5085,-0.1257,2026-08-24T08:00,16.8,65,10.4,70,23.0,0.0,3,100,1021.2,15720.0,15.3,2026-09-02T19:29:50.107578
London,51.5085,-0.1257,2026-08-24T09:00,18.0,63,10.1,86,22.7,0.0,3,100,1021.1,16800.0,16.8,2026-09-02T19:29:50.107591
London,51.5085,-0.1257,2026-08-24T10:00,19.5,56,13.7,90,31.7,0.0,3,100,1020.1,21580.0,17.7,2026-09-02T19:29:50.107602
London,51.5085,-0.1257,2026-08-24T11:00,20.5,52,15.8,84,37.1,0.0,3,100,1019.7,24180.0,18.3,2026-09-02T19:29:50.107614
London,51.5085,-0.1257,2026-08-24T12:00,21.0,49,18.0,86,41.0,0.0,3,100,1019.3,25120.0,18.4,2026-09-02T19:29:50.107625
London,51.5085,-0.1257,2026-08-24T13:00,21.5,47,17.3,86,39.2,0.0,3,100,1018.6,26020.0,19.4,2026-09-02T19:29:50.107637
London,51.5085,-0.1257,2026-08-24T14:00,21.9,43,17.3,96,40.0,0.0,2,58,1018.0,26820.0,19.2,2026-09-02T19:29:50.107648
London,51.5085,-0.1257,2026-08-24T15:00,22.0,41,18.4,84,41.8,0.0,1,20,1017.2,27800.0,18.9,2026-09-02T19:29:50.107659
London,51.5085,-0.1257,2026-08-24T16:00,21.6,41,20.2,82,46.1,0.0,0,15,1016.4,29240.0,18.1,2026-09-02T19:29:50.107671
London,51.5085,-0.1257,2026-08-24T17:00,20.7,44,19.4,80,43.6,0.0,3,100,1016.1,27600.0,17.3,2026-09-02T19:29:50.107689
London,51.5085,-0.1257,2026-08-24T18:00,19.9,46,18.4,72,41.4,0.0,3,100,1015.5,30160.0,16.7,2026-09-02T19:29:50.107701
London,51.5085,-0.1257,2026-08-24T19:00,19.1,54,17.6,68,39.6,0.0,1,23,1015.3,30320.0,16.4,2026-09-02T19:29:50.107712
London,51.5085,-0.1257,2026-08-24T20:00,18.4,58,16.6,64,37.1,0.0,1,44,1015.4,32580.0,16.1,2026-09-02T19:29:50.107723
London,51.5085,-0.1257,2026-08-24T21:00,17.9,61,16.9,56,37.4,0.0,1,22,1015.0,34040.0,15.5,2026-09-02T19:29:50.107735
London,51.5085,-0.1257,2026-08-24T22:00,17.4,66,15.1,56,32.8,0.0,0,0,1014.9,33060.0,15.5,2026-09-02T19:29:50.107746
London,51.5085,-0.1257,2026-08-24T23:00,17.0,70,15.5,50,33.8,0.0,0,0,1014.5,33380.0,15.3,2026-09-02T19:29:50.107757
London,51.5085,-0.1257,2026-08-25T00:00,16.6,74,14.0,52,31.0,0.0,0,2,1014.3,32680.0,15.2,2026-09-02T19:29:50.107770
London,51.5085,-0.1257,2026-08-25T01:00,16.7,76,14.0,48,30.6,0.0,3,84,1013.9,30200.0,15.4,2026-09-02T19:29:50.107781
London,51.5085,-0.1257,2026-08-25T02:00,16.6,76,14.8,50,31.7,0.0,0,3,1013.4,28280.0,15.2,2026-09-02T19:29:50.107792
London,51.5085,-0.1257,2026-08-25T03:00,16.3,77,11.2,48,24.5,0.0,0,0,1013.3,23480.0,15.4,2026-09-02T19:29:50.107810
London,51.5085,-0.1257,2026-08-25T04:00,16.0,77,12.2,48,26.6,0.0,0,0,1012.9,20600.0,14.9,2026-09-02T19:29:50.107821
London,51.5085,-0.1257,2026-08-25T05:00,15.9,76,12.2,42,26.6,0.0,0,0,1013.0,18140.0,14.6,2026-09-02T19:29:50.107833
London,51.5085,-0.1257,2026-08-25T06:00,16.1,75,12.6,48,27.4,0.0,0,0,1012.8,16820.0,14.8,2026-09-02T19:29:50.107845
London,51.5085,-0.1257,2026-08-25T07:00,17.1,73,14.4,46,31.3,0.0,0,0,1013.0,18460.0,15.7,2026-09-02T19:29:50.107856
London,51.5085,-0.1257,2026-08-25T08:00,18.7,69,14.8,66,33.1,0.0,1,20,1013.3,19980.0,17.5,2026-09-02T19:29:50.107867
London,51.5085,-0.1257,2026-08-25T09:00,20.5,63,15.8,74,35.3,0.0,1,22,1013.1,22600.0,19.2,2026-09-02T19:29:50.107879
London,51.5085,-0.1257,2026-08-25T10:00,22.3,50,15.5,86,35.3,0.0,1,28,1012.9,24280.0,20.5,2026-09-02T19:29:50.107890
London,51.5085,-0.1257,2026-08-25T11:00,23.5,45,15.5,92,35.3,0.0,1,21,1012.8,24440.0,22.0,2026-09-02T19:29:50.107902
London,51.5085,-0.1257,2026-08-25T12:00,24.2,40,17.3,94,39.2,0.0,0,5,1012.6,25920.0,22.5,2026-09-02T19:29:50.107913
London,51.5085,-0.1257,2026-08-25T13:00,24.8,40,17.3,100,39.2,0.0,0,3,1012.3,25620.0,23.3,2026-09-02T19:29:50.107931
London,51.5085,-0.1257,2026-08-25T14:00,25.0,39,16.6,100,38.2,0.0,0,1,1012.4,25580.0,23.3,2026-09-02T19:29:50.107943
London,51.5085,-0.1257,2026-08-25T15:00,25.0,37,16.2,98,37.4,0.0,0,0,1011.7,25520.0,22.7,2026-09-02T19:29:50.107954
London,51.5085,-0.1257,2026-08-25T16:00,24.7,38,16.6,100,38.2,0.0,0,0,1011.7,26840.0,22.2,2026-09-02T19:29:50.107972
London,51.5085,-0.1257,2026-08-25T17:00,24.0,42,15.5,102,34.9,0.0,3,98,1012.0,25600.0,21.8,2026-09-02T19:29:50.107989
London,51.5085,-0.1257,2026-08-25T18:00,22.8,48,15.5,96,34.6,0.0,3,100,1012.0,26100.0,21.0,2026-09-02T19:29:50.108000
London,51.5085,-0.1257,2026-08-25T19:00,21.8,57,13.7,92,30.2,0.0,1,48,1012.2,25260.0,20.7,2026-09-02T19:29:50.108011
London,51.5085,-0.1257,2026-08-25T20:00,20.6,64,14.0,88,31.0,0.0,3,100,1012.5,25080.0,19.8,2026-09-02T19:29:50.108029
London,51.5085,-0.1257,2026-08-25T21:00,20.3,67,11.9,80,26.6,0.0,3,100,1012.5,24380.0,19.9,2026-09-02T19:29:50.108042
London,51.5085,-0.1257,2026-08-25T22:00,20.0,69,11.2,78,24.5,0.0,3,100,1012.7,21120.0,19.8,2026-09-02T19:29:50.108053
London,51.5085,-0.1257,2026-08-25T23:00,19.8,70,10.4,72,23.0,0.0,3,99,1012.7,20520.0,19.7,2026-09-02T19:29:50.108070
London,51.5085,-0.1257,2026-08-26T00:00,19.5,73,10.1,80,21.2,0.0,3,100,1012.6,19240.0,19.6,2026-09-02T19:29:50.108082
London,51.5085,-0.1257,2026-08-26T01:00,19.6,75,7.9,66,16.6,0.0,3,100,1012.4,16680.0,20.1,2026-09-02T19:29:50.108093
London,51.5085,-0.1257,2026-08-26T02:00,19.2,77,8.3,58,18.0,0.1,51,100,1012.4,13580.0,19.7,2026-09-02T19:29:50.108104
London,51.5085,-0.1257,2026-08-26T03:00,19.0,81,7.6,54,16.9,0.2,51,100,1012.0,10500.0,19.9,2026-09-02T19:29:50.108115
London,51.5085,-0.1257,2026-08-26T04:00,18.7,84,6.5,60,14.0,0.2,51,100,1012.1,9420.0,19.9,2026-09-02T19:29:50.108127
London,51.5085,-0.1257,2026-08-26T05:00,18.5,85,6.1,64,13.7,0.0,3,97,1012.4,6880.0,19.7,2026-09-02T19:29:50.108152
London,51.5085,-0.1257,2026-08-26T06:00,18.7,87,5.8,82,12.6,0.0,3,100,1012.9,6800.0,20.2,2026-09-02T19:29:50.108164
London,51.5085,-0.1257,2026-08-26T07:00,19.2,85,6.8,86,14.8,0.0,3,99,1013.0,6200.0,20.6,2026-09-02T19:29:50.108175
London,51.5085,-0.1257,2026-08-26T08:00,20.1,82,6.8,98,15.1,0.0,3,93,1013.1,5400.0,21.6,2026-09-02T19:29:50.108187
